,Model,Company,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
2333,Honda Amaze S,Honda,Pune,2014,48000.0,Diesel,Manual,Second,25.8,1498.0,98.6,5,4.5
2334,Hyundai Verna 1.6,Hyundai,Jaipur,2014,97000.0,Diesel,Automatic,First,22.32,1582.0,126.32,5,8.0
2335,Mercedes-Benz GLA Class,Mercedes-Benz,Mumbai,2018,10000.0,Diesel,Automatic,First,17.9,2143.0,136.0,5,28.9
2336,Volkswagen Polo 1.5,Volkswagen,Coimbatore,2015,56900.0,Diesel,Manual,First,20.14,1498.0,88.8,5,4.1
2337,Hyundai Santro AT,Hyundai,Hyderabad,2006,74483.0,Petrol,Automatic,First,0.0,999.0,88.0,5,2.3
2338,Maruti Baleno Zeta,Maruti,Kochi,2017,36152.0,Petrol,Automatic,First,21.4,1197.0,83.1,5,7.22
2339,Maruti Swift VDI,Maruti,Hyderabad,2014,85512.0,Diesel,Manual,First,22.9,1248.0,74.0,5,5.8
2340,Mahindra Xylo D2,Mahindra,Chennai,2013,234000.0,Diesel,Manual,Second,14.0,2489.0,95.0,8,3.5
2341,Ford Ecosport 1.5,Ford,Bangalore,2013,36000.0,Diesel,Manual,Second,22.7,1498.0,89.84,5,6.35
2342,Mahindra XUV500 W8,Mahindra,Delhi,2015,36096.0,Diesel,Manual,First,15.1,2179.0,140.0,7,8.85
2343,Chevrolet Beat LS,Chevrolet,Hyderabad,2010,111111.0,Petrol,Manual,Second,18.6,1199.0,79.4,5,2.0
2344,Hyundai Verna 1.6,Hyundai,Bangalore,2012,73000.0,Petrol,Manual,First,17.01,1591.0,121.3,5,5.5
2345,Hyundai Grand i10,Hyundai,Kolkata,2014,44300.0,Petrol,Manual,Second,18.9,1197.0,82.0,5,2.3
2346,Renault Duster 110PS,Renault,Bangalore,2014,74500.0,Diesel,Manual,First,19.01,1461.0,108.45,5,7.95
2347,Hyundai Xcent 1.2,Hyundai,Coimbatore,2016,21495.0,Petrol,Manual,First,19.1,1197.0,81.86,5,6.16
2348,Hyundai i10 Sportz,Hyundai,Delhi,2012,59000.0,Petrol,Manual,First,20.36,1197.0,78.9,5,2.85
2349,Mercedes-Benz GLA Class,Mercedes-Benz,Delhi,2016,23000.0,Petrol,Automatic,First,13.7,1991.0,183.0,5,25.0
2350,Mercedes-Benz New C-Class,Mercedes-Benz,Coimbatore,2008,50135.0,Diesel,Manual,First,15.8,2148.0,170.0,5,10.36
2351,Mercedes-Benz CLA 200,Mercedes-Benz,Delhi,2016,25000.0,Petrol,Automatic,First,15.04,1991.0,183.0,5,26.0
2352,Hyundai Verna 1.6,Hyundai,Kolkata,2013,47000.0,Diesel,Manual,First,22.32,1582.0,126.32,5,4.35
2353,Maruti Swift Dzire,Maruti,Delhi,2015,53503.0,Diesel,Manual,First,26.59,1248.0,74.0,5,5.0
2354,Hyundai i10 Sportz,Hyundai,Ahmedabad,2014,47003.0,Petrol,Manual,First,20.36,1197.0,78.9,5,3.67
2355,Tata Safari Storme,Tata,Delhi,2014,80000.0,Diesel,Manual,First,14.0,2179.0,138.1,7,6.0
2356,Hyundai Grand i10,Hyundai,Coimbatore,2018,20492.0,Petrol,Manual,First,18.9,1197.0,82.0,5,6.34
2357,Mini Cooper Convertible,Mini,Chennai,2012,17000.0,Petrol,Automatic,Second,16.82,1998.0,189.08,4,22.0
2358,Toyota Corolla H5,Toyota,Delhi,2006,79000.0,Petrol,Manual,Second,13.4,1794.0,125.0,5,1.67
2359,Toyota Corolla Altis,Toyota,Kolkata,2014,27000.0,Petrol,Manual,First,14.28,1798.0,138.03,5,7.95
2360,Maruti Grand Vitara,Maruti,Kochi,2018,28786.0,Petrol,Manual,First,10.4,2393.0,163.5,5,9.74
2361,Mahindra XUV500 W8,Mahindra,Chennai,2011,143354.0,Diesel,Manual,Second,16.0,1997.0,140.0,7,6.0
2362,Maruti Estilo LXI,Maruti,Chennai,2008,56000.0,Petrol,Manual,Second,19.5,1061.0,88.0,7,1.5
2363,Mini Cooper 3,Mini,Mumbai,2013,21000.0,Petrol,Automatic,First,17.44,1998.0,189.08,4,21.5
2364,Maruti Wagon R,Maruti,Pune,2014,29202.0,CNG,Manual,First,33.54,998.0,67.04,5,3.9
2365,Maruti Ritz VDi,Maruti,Jaipur,2009,73000.0,Diesel,Manual,Second,21.1,1248.0,73.9,5,2.35
2366,Volkswagen Polo Diesel,Volkswagen,Delhi,2012,74000.0,Diesel,Manual,Second,22.07,1199.0,73.9,5,2.65
2367,Hyundai i10 Magna,Hyundai,Kochi,2011,65423.0,Petrol,Manual,First,20.36,1197.0,78.9,5,3.16
2368,Maruti A-Star Vxi,Maruti,Jaipur,2009,65000.0,Petrol,Manual,Second,19.0,998.0,66.1,5,2.05
2369,Maruti Wagon R,Maruti,Hyderabad,2013,83875.0,CNG,Manual,Second,26.6,998.0,58.16,5,2.95
2370,Maruti Wagon R,Maruti,Hyderabad,2014,55277.0,Petrol,Manual,First,20.51,998.0,67.04,5,3.9
2371,Honda Mobilio S,Honda,Coimbatore,2017,50808.0,Diesel,Manual,Second,24.2,1498.0,98.6,7,6.68
2372,Hyundai EON Era,Hyundai,Jaipur,2017,52000.0,Petrol,Manual,Second,21.1,814.0,55.2,5,3.5
2373,Skoda Rapid 1.6,Skoda,Mumbai,2017,32000.0,Petrol,Automatic,First,14.84,1598.0,103.52,5,8.11
2374,Maruti Ciaz VDi,Maruti,Delhi,2017,25000.0,Diesel,Manual,First,28.09,1248.0,88.5,5,8.3
2375,Mercedes-Benz M-Class ML,Mercedes-Benz,Coimbatore,2016,23218.0,Diesel,Automatic,First,15.26,2143.0,203.2,5,45.61
2376,Skoda Laura Elegance,Skoda,Pune,2010,84000.0,Diesel,Automatic,First,20.0,1968.0,138.1,5,4.45
2377,Maruti Vitara Brezza,Maruti,Delhi,2017,40000.0,Diesel,Manual,First,24.3,1248.0,88.5,5,7.85
2378,Hyundai Santro Xing,Hyundai,Hyderabad,2011,17000.0,LPG,Manual,First,13.45,1086.0,62.1,5,3.1
2379,Hyundai Grand i10,Hyundai,Kolkata,2014,25135.0,Diesel,Manual,First,24.0,1120.0,70.0,5,3.75
2380,Maruti Ertiga VDI,Maruti,Delhi,2017,65000.0,Diesel,Manual,First,25.47,1248.0,88.5,7,7.65
2381,Hyundai i20 1.2,Hyundai,Ahmedabad,2013,40000.0,Petrol,Manual,First,17.0,1197.0,80.0,5,4.9
2382,Mahindra XUV500 AT,Mahindra,Coimbatore,2018,24500.0,Diesel,Automatic,First,16.0,2179.0,140.0,7,16.52
2383,Skoda Superb Elegance,Skoda,Kochi,2016,56674.0,Petrol,Automatic,First,13.7,1798.0,157.75,5,14.05
2384,Maruti Ciaz VXi,Maruti,Kochi,2016,51950.0,Petrol,Manual,First,20.73,1373.0,91.1,5,6.75
2385,Hyundai Creta 1.6,Hyundai,Kolkata,2016,51000.0,Diesel,Manual,First,19.67,1582.0,126.2,5,9.2
2386,Toyota Etios GD,Toyota,Chennai,2012,150000.0,Diesel,Manual,Third,23.59,1364.0,88.0,5,3.0
2387,Honda City 1.5,Honda,Chennai,2008,114750.0,Petrol,Manual,Second,17.0,1497.0,118.0,5,2.75
2388,Ford Endeavour 2.2,Ford,Hyderabad,2016,107890.0,Diesel,Manual,First,13.5,2198.0,157.7,7,20.5
2389,Hyundai i20 2015-2017,Hyundai,Pune,2012,64000.0,Diesel,Manual,First,21.9,1396.0,90.0,5,4.25
2390,Ford EcoSport 1.5,Ford,Kolkata,2016,21460.0,Petrol,Manual,First,17.0,1497.0,121.36,5,6.0
2391,Hyundai i20 1.2,Hyundai,Coimbatore,2015,29634.0,Petrol,Manual,Second,17.0,1197.0,80.0,5,6.0
2392,Maruti Swift VXI,Maruti,Ahmedabad,2008,52000.0,Petrol,Manual,First,16.1,1298.0,88.2,5,2.41
2393,Honda Jazz V,Honda,Hyderabad,2015,33000.0,Petrol,Automatic,First,19.0,1199.0,88.7,5,7.25
2394,Volvo XC90 2007-2015,Volvo,Kochi,2014,89230.0,Diesel,Manual,First,11.1,2400.0,200.0,7,23.65
2395,Maruti Baleno Alpha,Maruti,Delhi,2016,27000.0,Petrol,Manual,First,21.4,1197.0,83.1,5,6.5
2396,Mercedes-Benz GLA Class,Mercedes-Benz,Kochi,2017,72524.0,Diesel,Automatic,Second,17.9,2143.0,136.0,5,18.06
2397,Renault KWID RXT,Renault,Hyderabad,2016,73000.0,Petrol,Manual,First,25.17,799.0,53.3,5,3.2
2398,Ford Figo 2015-2019,Ford,Coimbatore,2017,21740.0,Petrol,Manual,First,18.16,1196.0,86.8,5,6.42
2399,Toyota Fortuner 4x2,Toyota,Jaipur,2015,59000.0,Diesel,Manual,First,13.0,2982.0,168.5,7,23.0
2400,Honda City 1.5,Honda,Chennai,2013,83432.0,Petrol,Manual,First,17.0,1497.0,118.0,5,5.9
2401,Mahindra Scorpio S2,Mahindra,Pune,2014,87200.0,Diesel,Manual,First,15.4,2523.0,75.0,7,7.75
2402,BMW 3 Series,BMW,Hyderabad,2012,88000.0,Diesel,Automatic,First,13.2,1995.0,170.0,5,15.0
2403,Maruti Vitara Brezza,Maruti,Jaipur,2017,48324.0,Diesel,Manual,First,24.3,1248.0,88.5,5,9.0
2404,Mercedes-Benz New C-Class,Mercedes-Benz,Delhi,2011,51000.0,Petrol,Automatic,First,11.74,1796.0,186.0,5,11.5
2405,Hyundai Verna 1.6,Hyundai,Kolkata,2012,24000.0,Petrol,Manual,Second,17.01,1591.0,121.3,5,6.2
2406,Hyundai Grand i10,Hyundai,Kochi,2017,20773.0,Diesel,Manual,First,24.0,1186.0,73.97,5,5.92
2407,Volkswagen Polo 1.5,Volkswagen,Kolkata,2016,22000.0,Diesel,Manual,First,20.14,1498.0,88.0,5,6.29
2408,Honda Amaze S,Honda,Kochi,2014,66355.0,Petrol,Manual,First,18.0,1198.0,86.7,5,4.12
2409,Honda CR-V 2.4,Honda,Pune,2007,115800.0,Petrol,Automatic,Third,10.1,2354.0,152.0,5,3.8
2410,Hyundai Santro Xing,Hyundai,Ahmedabad,2014,41125.0,Petrol,Manual,First,17.92,1086.0,62.1,5,2.7
2411,Mercedes-Benz B Class,Mercedes-Benz,Coimbatore,2017,43812.0,Diesel,Automatic,First,15.0,2143.0,107.3,5,20.28
2412,Honda Amaze S,Honda,Delhi,2014,69876.0,Petrol,Manual,First,18.0,1198.0,86.7,5,3.9
2413,Toyota Fortuner 4x2,Toyota,Pune,2014,102000.0,Diesel,Automatic,Second,12.55,2982.0,168.5,7,16.5
2414,Hyundai Verna 1.6,Hyundai,Pune,2011,68000.0,Petrol,Manual,First,17.01,1591.0,121.3,5,3.7
2415,Jaguar XJ 3.0L,Jaguar,Delhi,2016,12000.0,Diesel,Automatic,First,10.5,2993.0,271.23,4,79.0
2416,BMW 3 Series,BMW,Mumbai,2013,25000.0,Diesel,Automatic,First,22.69,1995.0,190.0,5,17.99
2417,Hyundai i20 Magna,Hyundai,Jaipur,2013,51873.0,Diesel,Manual,First,21.9,1396.0,88.76,5,3.9
2418,Ford Figo Diesel,Ford,Chennai,2012,72500.0,Diesel,Manual,First,18.5,1399.0,68.0,5,3.12
2419,Maruti Wagon R,Maruti,Pune,2007,83000.0,Petrol,Manual,First,14.0,1061.0,64.0,5,1.65
2420,Hyundai Xcent 1.2,Hyundai,Kolkata,2015,39871.0,Petrol,Manual,First,19.1,1197.0,81.86,5,3.5
2421,Mahindra Xylo H4,Mahindra,Chennai,2015,82000.0,Diesel,Manual,Second,14.02,2179.0,118.3,7,4.85
2422,Mercedes-Benz New C-Class,Mercedes-Benz,Coimbatore,2018,23152.0,Diesel,Automatic,First,19.27,2143.0,167.62,5,39.22
2423,Hyundai i10 Magna,Hyundai,Kolkata,2007,71600.0,Petrol,Manual,Second,20.36,1197.0,78.9,5,2.0
2424,Toyota Fortuner 3.0,Toyota,Mumbai,2010,122000.0,Diesel,Manual,Second,11.5,2982.0,171.0,7,10.45
2425,Toyota Camry Hybrid,Toyota,Chennai,2016,29277.0,Petrol,Automatic,First,19.16,2494.0,158.2,5,27.0
2426,Ford Figo Diesel,Ford,Kolkata,2011,60000.0,Diesel,Manual,First,20.0,1399.0,68.0,5,2.25
2427,Hyundai Xcent 1.2,Hyundai,Kolkata,2014,42000.0,Petrol,Manual,First,19.1,1197.0,81.86,5,3.45
2428,Hyundai i20 Sportz,Hyundai,Kochi,2016,61823.0,Petrol,Manual,First,18.6,1197.0,81.83,5,6.14
2429,Hyundai i10 Magna,Hyundai,Jaipur,2012,53000.0,LPG,Manual,Second,19.2,1086.0,68.05,5,2.85
2430,Tata Indigo CS,Tata,Chennai,2015,75000.0,CNG,Manual,First,24.6,1193.0,55.23,5,3.25
2431,Maruti Dzire VDI,Maruti,Hyderabad,2011,110000.0,Diesel,Manual,First,28.4,1248.0,73.75,5,4.0
2432,Honda City 1.5,Honda,Kolkata,2010,38446.0,Petrol,Manual,First,17.0,1497.0,118.0,5,2.59
2433,Maruti Baleno Delta,Maruti,Delhi,2017,33000.0,Diesel,Manual,First,27.39,1248.0,74.0,5,6.96
2434,Toyota Etios Liva,Toyota,Kolkata,2011,42118.0,Petrol,Manual,First,18.3,1197.0,88.0,5,2.19
2435,Hyundai EON Era,Hyundai,Jaipur,2016,70000.0,Petrol,Manual,First,21.1,814.0,55.2,5,3.0
2436,Volkswagen Polo 1.5,Volkswagen,Delhi,2012,68038.0,Diesel,Manual,First,20.14,1498.0,88.0,5,3.6
2437,Chevrolet Beat Diesel,Chevrolet,Coimbatore,2014,55012.0,Diesel,Manual,Second,25.44,936.0,57.6,5,3.7
2438,BMW 5 Series,BMW,Ahmedabad,2013,55000.0,Diesel,Automatic,First,22.48,1995.0,190.0,5,21.75
2439,Mercedes-Benz GLC 220d,Mercedes-Benz,Mumbai,2017,25000.0,Diesel,Automatic,First,17.9,2143.0,170.0,5,45.0
2440,Maruti Alto K10,Maruti,Coimbatore,2011,46808.0,Petrol,Manual,Second,24.07,998.0,67.1,5,3.19
2441,Hyundai Xcent 1.2,Hyundai,Coimbatore,2015,65743.0,Petrol,Manual,First,20.14,1197.0,81.86,5,6.2
2442,Hyundai i10 Magna,Hyundai,Coimbatore,2013,64466.0,Petrol,Manual,First,19.81,1086.0,68.05,5,3.96
2443,Tata Indica DLS,Tata,Kolkata,2009,75648.0,Diesel,Manual,First,13.5,1405.0,88.0,5,0.82
2444,Maruti Swift Dzire,Maruti,Jaipur,2016,80000.0,Diesel,Manual,First,23.4,1248.0,74.0,5,4.5
2445,Hyundai Xcent 1.2,Hyundai,Mumbai,2017,69000.0,Diesel,Manual,First,25.4,1186.0,73.97,5,3.55
2446,Nissan Sunny Diesel,Nissan,Chennai,2014,79200.0,Diesel,Manual,First,22.71,1461.0,84.8,5,5.5
2447,Hyundai Creta 1.6,Hyundai,Mumbai,2016,29477.0,Petrol,Manual,First,15.8,1591.0,121.3,5,10.25
2448,Toyota Fortuner 2.8,Toyota,Delhi,2017,40000.0,Diesel,Automatic,First,12.9,2755.0,174.5,7,30.0
2449,Maruti Ritz VXi,Maruti,Pune,2014,25000.0,Petrol,Manual,Second,18.5,1197.0,85.8,5,3.5
2450,Renault Pulse RxL,Renault,Delhi,2014,67668.0,Diesel,Manual,First,23.08,1461.0,63.12,5,3.1
2451,Skoda Fabia 1.2,Skoda,Hyderabad,2010,78000.0,Petrol,Manual,First,17.5,1198.0,75.0,5,3.25
2452,Ford EcoSport 1.5,Ford,Mumbai,2017,30000.0,Diesel,Manual,First,23.0,1498.0,98.96,5,8.99
2453,Volkswagen Vento Petrol,Volkswagen,Kolkata,2015,70623.0,Petrol,Manual,First,15.04,1598.0,103.6,5,3.99
2454,Nissan Terrano XV,Nissan,Mumbai,2015,54000.0,Diesel,Manual,Second,19.01,1461.0,108.5,5,6.0
2455,Audi Q3 2012-2015,Audi,Mumbai,2015,48000.0,Diesel,Automatic,First,15.73,1968.0,174.33,5,18.25
2456,Toyota Innova 2.5,Toyota,Delhi,2012,62000.0,Diesel,Manual,First,12.99,2494.0,100.0,7,7.75
2457,Tata Zest Revotron,Tata,Delhi,2017,47000.0,Petrol,Manual,Second,17.57,1193.0,88.7,5,4.5
2458,Toyota Fortuner 3.0,Toyota,Bangalore,2014,171000.0,Diesel,Manual,First,11.5,2982.0,171.0,7,16.75
2459,BMW X3 xDrive20d,BMW,Pune,2012,108000.0,Diesel,Automatic,First,16.09,1995.0,184.0,5,17.5
2460,Maruti SX4 S,Maruti,Chennai,2016,41000.0,Diesel,Manual,First,22.7,1598.0,118.0,5,7.7
2461,Honda City 1.5,Honda,Pune,2012,66000.0,Petrol,Manual,Second,17.0,1497.0,118.0,5,4.45
2462,Maruti Swift Dzire,Maruti,Jaipur,2015,144000.0,Diesel,Manual,First,26.59,1248.0,74.0,5,5.25
2463,BMW 3 Series,BMW,Kochi,2017,23806.0,Diesel,Automatic,First,22.69,1995.0,190.0,5,33.66
2464,Nissan Micra XV,Nissan,Chennai,2013,89000.0,Petrol,Automatic,Second,19.34,1198.0,76.0,5,2.8
2465,Maruti Baleno Zeta,Maruti,Coimbatore,2018,38852.0,Petrol,Automatic,First,21.4,1197.0,83.1,5,8.47
2466,Maruti Ciaz ZDi,Maruti,Coimbatore,2018,68737.0,Diesel,Manual,First,26.21,1248.0,88.5,5,9.32
2467,Mercedes-Benz CLA 200,Mercedes-Benz,Coimbatore,2017,23106.0,Diesel,Automatic,First,17.9,2143.0,136.0,5,27.43
2468,Honda Mobilio RS,Honda,Delhi,2015,31250.0,Diesel,Manual,First,24.5,1498.0,98.6,7,6.5
2469,Toyota Innova 2.5,Toyota,Delhi,2014,77795.0,Diesel,Manual,First,12.99,2494.0,100.6,8,9.5
2470,Jaguar XF 3.0,Jaguar,Kochi,2015,47759.0,Diesel,Automatic,First,14.74,2993.0,270.9,5,31.8
2471,Toyota Etios Petrol,Toyota,Chennai,2013,67620.0,Petrol,Manual,Second,17.6,1496.0,88.8,5,4.2
2472,Chevrolet Beat Diesel,Chevrolet,Kochi,2013,44378.0,Diesel,Manual,First,25.44,936.0,57.6,5,3.85
2473,Honda Accord 2.4,Honda,Delhi,2012,64709.0,Petrol,Manual,Second,12.8,2354.0,177.6,5,6.0
2474,Maruti Alto LXi,Maruti,Hyderabad,2007,76161.0,Petrol,Manual,First,19.7,796.0,46.3,5,1.65
2475,Skoda Octavia Ambition,Skoda,Bangalore,2013,58410.0,Diesel,Automatic,First,19.3,1968.0,141.0,5,14.5
2476,Toyota Innova 2.5,Toyota,Delhi,2011,72000.0,Diesel,Manual,First,12.8,2494.0,102.0,7,7.1
2477,Audi A4 35,Audi,Chennai,2016,11000.0,Diesel,Automatic,First,17.11,1968.0,174.33,5,28.0
2478,Maruti Vitara Brezza,Maruti,Kochi,2017,45362.0,Diesel,Manual,First,24.3,1248.0,88.5,5,9.38
2479,Hyundai Grand i10,Hyundai,Kochi,2016,59767.0,Petrol,Manual,First,18.9,1197.0,82.0,5,4.78
2480,Toyota Corolla DX,Toyota,Chennai,2003,70000.0,Petrol,Manual,Second,13.4,1794.0,125.0,5,1.7
2481,Tata Hexa XTA,Tata,Coimbatore,2019,14233.0,Diesel,Automatic,First,17.6,2179.0,153.86,7,17.85
2482,Hyundai i20 2015-2017,Hyundai,Pune,2010,72000.0,Petrol,Manual,Second,17.0,1197.0,80.0,5,2.75
2483,Hyundai Verna 1.6,Hyundai,Mumbai,2014,11000.0,Petrol,Manual,First,17.01,1591.0,121.3,5,5.95
2484,Maruti Omni 8,Maruti,Mumbai,2011,39000.0,Petrol,Manual,First,14.0,796.0,35.0,5,1.5
2485,Maruti Alto 800,Maruti,Kochi,2019,19855.0,Petrol,Manual,First,24.7,796.0,47.3,5,3.8
2486,Mercedes-Benz New C-Class,Mercedes-Benz,Bangalore,2017,20149.0,Diesel,Automatic,First,19.27,2143.0,167.62,5,38.5
2487,Hyundai i10 Era,Hyundai,Jaipur,2011,70000.0,Petrol,Manual,First,19.81,1086.0,68.05,5,2.15
2488,Skoda Superb Style,Skoda,Mumbai,2010,62004.0,Petrol,Automatic,Second,14.67,1798.0,177.46,5,3.75
2489,Volkswagen Vento 1.5,Volkswagen,Mumbai,2016,25500.0,Diesel,Automatic,First,21.5,1498.0,108.5,5,8.95
2490,Maruti Swift VDI,Maruti,Hyderabad,2013,68800.0,Diesel,Manual,First,17.8,1248.0,88.0,5,5.0
2491,Honda Civic 2010-2013,Honda,Pune,2010,61700.0,Petrol,Manual,First,14.8,1799.0,130.2,5,2.95
2492,BMW 3 Series,BMW,Coimbatore,2010,59660.0,Petrol,Automatic,First,12.05,1995.0,154.0,5,10.49
2493,Hyundai Santro Xing,Hyundai,Hyderabad,2007,69775.0,Petrol,Manual,Second,17.92,1086.0,62.1,5,1.85
2494,Maruti Swift VDI,Maruti,Hyderabad,2016,51787.0,Diesel,Manual,First,17.8,1248.0,88.0,5,6.45
2495,Honda Accord 2001-2003,Honda,Jaipur,2009,88000.0,Petrol,Automatic,First,11.1,2354.0,142.0,5,5.25
2496,Maruti Ertiga VDI,Maruti,Kolkata,2014,47052.0,Diesel,Manual,First,20.77,1248.0,88.76,7,5.99
2497,Ford Fiesta Classic,Ford,Kochi,2015,69749.0,Diesel,Manual,First,18.6,1388.0,67.0,5,3.82
2498,Audi Q7 3.0,Audi,Hyderabad,2012,79000.0,Diesel,Automatic,First,12.07,2967.0,241.4,7,39.0
2499,Audi A4 35,Audi,Coimbatore,2016,39644.0,Diesel,Automatic,First,17.11,1968.0,174.33,5,25.75
2500,Tata Indica Vista,Tata,Hyderabad,2012,137800.0,Diesel,Manual,First,22.3,1248.0,74.0,5,2.2
2501,Hyundai Verna CRDi,Hyundai,Chennai,2008,120000.0,Diesel,Manual,Second,18.1,1493.0,110.0,5,2.0
2502,Mercedes-Benz E-Class E,Mercedes-Benz,Mumbai,2018,11000.0,Diesel,Automatic,First,16.1,1950.0,194.0,5,56.5
2503,BMW 3 Series,BMW,Mumbai,2014,18600.0,Diesel,Automatic,Second,22.69,1995.0,190.0,5,21.0
2504,Hyundai Grand i10,Hyundai,Ahmedabad,2014,116905.0,Diesel,Manual,First,24.0,1120.0,70.0,5,4.0
2505,Hyundai i10 Sportz,Hyundai,Coimbatore,2011,32824.0,Petrol,Automatic,First,16.95,1197.0,78.9,5,3.83
2506,Maruti Swift VXi,Maruti,Kochi,2016,19148.0,Petrol,Manual,First,16.1,1197.0,85.0,5,5.89
2507,Hyundai Santro Xing,Hyundai,Kolkata,2010,35008.0,Petrol,Manual,First,17.92,1086.0,62.1,5,1.36
2508,BMW 6 Series,BMW,Delhi,2013,21000.0,Diesel,Automatic,Second,17.54,2993.0,313.0,4,44.0
2509,Maruti SX4 Green,Maruti,Mumbai,2014,53000.0,CNG,Manual,First,22.1,1586.0,85.7,5,3.26
2510,Hyundai Verna 1.4,Hyundai,Bangalore,2016,36000.0,Petrol,Manual,First,17.43,1396.0,105.5,5,8.0
2511,Maruti Swift Dzire,Maruti,Ahmedabad,2012,56121.0,Diesel,Manual,First,23.4,1248.0,74.0,5,4.25
2512,Maruti Swift VDI,Maruti,Pune,2018,30000.0,Diesel,Manual,First,28.4,1248.0,74.0,5,6.0
2513,Skoda Octavia 2.0,Skoda,Kochi,2016,31021.0,Diesel,Automatic,First,19.5,1968.0,141.0,5,16.61
2514,Renault Duster 110PS,Renault,Coimbatore,2013,52600.0,Diesel,Manual,First,19.6,1461.0,108.45,5,7.26
2515,Mahindra Scorpio 2.6,Mahindra,Bangalore,2005,60000.0,Diesel,Manual,First,10.5,2179.0,120.0,8,4.0
2516,BMW 5 Series,BMW,Ahmedabad,2016,44001.0,Diesel,Automatic,First,18.12,1995.0,190.0,5,34.51
2517,Maruti Wagon R,Maruti,Chennai,2003,101000.0,Petrol,Manual,Third,17.3,1061.0,64.0,5,0.95
2518,Maruti Wagon R,Maruti,Hyderabad,2007,84169.0,Petrol,Manual,First,14.0,1061.0,64.0,5,2.2
2519,Hyundai i20 Sportz,Hyundai,Mumbai,2017,14001.0,Petrol,Manual,First,18.6,1197.0,81.83,5,5.75
2520,Hyundai Santro Xing,Hyundai,Pune,2005,100000.0,CNG,Manual,Third,17.0,1086.0,88.0,5,1.2
2521,Land Rover Discovery,Land,Delhi,2016,59000.0,Diesel,Automatic,First,18.0,2993.0,255.0,7,36.75
2522,Mercedes-Benz New C-Class,Mercedes-Benz,Hyderabad,2009,29000.0,Petrol,Automatic,Second,11.7,1796.0,178.0,5,10.0
2523,BMW 5 Series,BMW,Kochi,2014,64158.0,Diesel,Automatic,First,18.48,1796.0,178.0,5,17.89
2524,Nissan Sunny 2011-2014,Nissan,Mumbai,2012,38800.0,Diesel,Manual,First,21.64,1461.0,84.8,5,4.05
2525,Audi Q7 3.0,Audi,Hyderabad,2011,98000.0,Diesel,Automatic,First,12.07,2967.0,241.4,7,22.0
2526,Mercedes-Benz CLA 200,Mercedes-Benz,Coimbatore,2017,20969.0,Diesel,Automatic,First,17.9,2143.0,136.0,5,27.87
2527,Maruti Vitara Brezza,Maruti,Kolkata,2018,2900.0,Diesel,Manual,First,24.3,1248.0,88.5,5,8.75
2528,Maruti Swift Dzire,Maruti,Hyderabad,2016,69000.0,Diesel,Manual,First,19.3,1248.0,73.9,5,4.79
2529,Skoda Rapid 1.5,Skoda,Coimbatore,2018,5833.0,Diesel,Manual,First,21.13,1498.0,108.4,5,11.92
2530,Audi Q7 35,Audi,Coimbatore,2016,28733.0,Diesel,Automatic,Second,12.07,2967.0,241.4,7,53.11
2531,Maruti Wagon R,Maruti,Jaipur,2006,145000.0,Petrol,Manual,First,18.9,998.0,67.1,5,1.15
2532,Honda City i,Honda,Pune,2014,71000.0,Diesel,Manual,First,25.1,1498.0,98.6,5,7.45
2533,Hyundai EON Magna,Hyundai,Jaipur,2017,12000.0,Petrol,Manual,First,21.1,814.0,55.2,5,3.5
2534,Mercedes-Benz E-Class 2015-2017,Mercedes-Benz,Kochi,2018,21603.0,Diesel,Automatic,First,13.0,2987.0,265.0,5,70.15
2535,Hyundai Santro GLS,Hyundai,Bangalore,2011,65000.0,Petrol,Manual,Second,0.0,2987.0,265.0,5,3.15
2536,BMW 3 Series,BMW,Hyderabad,2013,58000.0,Diesel,Automatic,First,13.2,1995.0,170.0,5,19.5
2537,BMW 3 Series,BMW,Pune,2012,39000.0,Petrol,Automatic,Second,12.05,1995.0,154.0,5,15.0
2538,Mahindra NuvoSport N8,Mahindra,Coimbatore,2017,37712.0,Diesel,Manual,First,17.45,1493.0,100.0,7,7.57
2539,Maruti Ritz VXi,Maruti,Hyderabad,2012,68000.0,Petrol,Manual,First,18.5,1197.0,85.8,5,4.4
2540,BMW X6 xDrive,BMW,Chennai,2016,25000.0,Diesel,Automatic,First,15.87,2993.0,308.43,5,60.0
2541,Chevrolet Beat LT,Chevrolet,Kolkata,2010,30000.0,Petrol,Manual,First,18.6,1199.0,79.4,5,1.6
2542,Maruti Swift Dzire,Maruti,Pune,2014,68218.0,Petrol,Manual,First,19.1,1197.0,85.8,5,4.9
2543,Maruti Ertiga ZDI,Maruti,Delhi,2014,52000.0,Diesel,Manual,First,20.77,1248.0,88.8,7,5.95
2544,Renault Duster 85PS,Renault,Coimbatore,2015,63591.0,Diesel,Manual,First,20.45,1461.0,83.8,5,5.35
2545,Honda Amaze VX,Honda,Hyderabad,2014,57937.0,Petrol,Automatic,First,15.5,1198.0,86.7,5,5.4
2546,Audi A4 2.0,Audi,Coimbatore,2015,21979.0,Diesel,Automatic,First,17.11,1968.0,174.33,5,23.45
2547,Skoda Octavia Ambiente,Skoda,Hyderabad,2002,99000.0,Diesel,Manual,Second,18.7,1896.0,66.0,5,1.9
